Implemented,Name,Description,Unit,Resolution,Default,Min,Max,Datatype,Modbus Addr,Type,Length,FCr,FCw,Access
,Alarm11,,,,,,,UINT16,2820,Register,1,04,,r
,Alarm12,,,,,,,UINT16,2821,Register,1,04,,r
,Alarm13,,,,,,,UINT16,2822,Register,1,04,,r
,Alarm14,,,,,,,UINT16,2823,Register,1,04,,r
,Alarm15,,,,,,,UINT16,2824,Register,1,04,,r
,Alarm16,,,,,,,UINT16,2825,Register,1,04,,r
,Alarm17,,,,,,,UINT16,2826,Register,1,04,,r
,Alarm18,,,,,,,UINT16,2827,Register,1,04,,r
,Alarm19,,,,,,,UINT16,2828,Register,1,04,,r
,Alarm20,,,,,,,UINT16,2829,Register,1,04,,r
,nsProtectionErrorCode,Error Code of NS Protection ,number,1.0,255,0,255,UINT16,3000,Register,1,03,06,rw
