ActivePower,ActiveProductionEnergy
0,2716.581412
0,2713.198372
0,2709.823747
0,2706.457506
0,2703.099619
0,2699.750053
0,2696.408778
0,2693.075763
0,2689.750978
0,2686.434393
0,2683.125976
0,2679.825698
0,2676.533529
0,2673.249439
0,2669.973398
0,2666.705376
0,2663.445345
0,2660.193275
0,2656.949137
0,2653.712902
0,2650.484541
0,2647.264025
0,2644.051326
0,2640.846415
0,2637.649265
0,2634.459846
0,2631.278131
0,2628.104092
0,2624.937702
0,2621.778932
0,2618.627755
0,2615.484145
0,2612.348073
0,2609.219512
0,2606.098436
0,2602.984818
0,2599.878631
0,2596.779848
0,2593.688443
0,2590.604391
0,2587.527663
0,2584.458236
0,2581.396081
0,2578.341175
0,2575.29349
0,2572.253002
0,2569.219685
0,2566.193513
0,2563.174462
0,2560.162506
0,2557.15762
0,2554.15978
0,2551.168961
0,2548.185137
0,2545.208286
0,2542.238381
0,2539.275399
0,2536.319316
0,2533.370108
0,2530.42775
0,2527.492219
0,2524.563491
0,2521.641542
0,2518.72635
0,2515.81789
0,2512.916139
0,2510.021074
0,2507.132673
0,2504.250911
0,2501.375766
0,2498.507216
0,2495.645238
0,2492.789808
0,2489.940906
0,2487.098507
0,2484.262591
0,2481.433135
0,2478.610117
0,2475.793514
0,2472.983306
0,2470.17947
0,2467.381985
0,2464.590829
0,2461.80598
0,2459.027418
0,2456.255121
0,2453.489068
0,2450.729238
0,2447.97561
0,2445.228162
0,2442.486875
0,2439.751727
0,2437.022699
0,2434.299768
0,2431.582916
0,2428.872121
0,2426.167364
0,2423.468624
0,2420.775881
0,2418.089115
0,2415.408307
0,2412.733436
0,2410.064483
0,2407.401428
0,2404.744252
0,2402.092936
0,2399.447459
0,2396.807803
0,2394.173948
0,2391.545875
0,2388.923566
0,2386.307002
0,2383.696163
0,2381.09103
0,2378.491586
0,2375.897811
0,2373.309687
0,2370.727195
0,2368.150318
0,2365.579036
0,2363.013332
0,2360.453188
0,2357.898585
0,2355.349505
0,2352.805931
0,2350.267845
0,2347.735229
0,2345.208065
0,2342.686336
0,2340.170024
0,2337.659112
0,2335.153583
0,2332.653418
0,2330.158602
0,2327.669116
0,2325.184944
0,2322.706069
0,2320.232473
0,2317.764141
0,2315.301055
0,2312.843198
0,2310.390554
0,2307.943106
0,2305.500839
0,2303.063734
0,2300.631777
0,2298.20495
0,2295.783238
0,2293.366624
0,2290.955092
0,2288.548627
0,2286.147211
0,2283.750831
0,2281.359469
0,2278.973109
0,2276.591737
0,2274.215337
0,2271.843892
0,2269.477388
0,2267.115809
0,2264.75914
0,2262.407365
0,2260.060469
0,2257.718438
0,2255.381255
0,2253.048906
0,2250.721377
0,2248.398651
0,2246.080714
0,2243.767552
0,2241.459149
0,2239.155491
0,2236.856563
0,2234.562351
0,2232.272841
0,2229.988017
0,2227.707866
0,2225.432372
0,2223.161523
0,2220.895303
0,2218.633699
0,2216.376696
0,2214.124281
0,2211.876439
0,2209.633157
0,2207.39442
0,2205.160215
0,2202.930528
0,2200.705346
0,2198.484654
0,2196.26844
0,2194.056689
0,2191.849389
0,2189.646525
0,2187.448085
0,2185.254055
0,2183.064421
0,2180.879172
0,2178.698293
0,2176.521771
0,2174.349593
0,2172.181747
0,2170.01822
0,2167.858998
0,2165.704068
0,2163.553419
0,2161.407036
0,2159.264908
0,2157.127022
0,2154.993366
0,2152.863925
0,2150.73869
0,2148.617645
0,2146.500781
0,2144.388083
